// sm_dump_classes classes.txt 

// Dump of all classes for "left4dead" as at 2024/10/08
//

CFireSmoke - _firesmoke
CEnvTonemapController - env_tonemap_controller_infected
CBaseEntity - env_tracer
CBaseEntity - env_viewpunch
CEnvWeaponfire - env_weaponfire
CEnvWind - env_wind
CBaseEntity - env_zoom
CBaseEntity - escape_route
CBaseEntity - event_queue_saveload_proxy
CBaseEntity - filter_activator_class
CBaseEntity - filter_activator_context
CBaseEntity - filter_activator_infected_class
CBaseEntity - filter_activator_mass_greater
CBaseEntity - filter_activator_model
CBaseEntity - filter_activator_name
CBaseEntity - filter_activator_team
CBaseEntity - filter_base
CBaseEntity - filter_damage_type
CBaseEntity - filter_enemy
CBaseEntity - filter_multi
CFinaleTrigger - finale_trigger
CFish - fish
CBaseEntity - fog_volume
CBaseEntity - func_areaportal
CFuncAreaPortalWindow - func_areaportalwindow
CBreakable - func_breakable
CBreakableSurface - func_breakable_surf
CFuncBrush - func_brush
CBaseButton - func_button
CBaseButton - func_button_timed
CBaseEntity - func_clip_vphysics
CFuncConveyor - func_conveyor
CBaseEntity - func_detail_blocker
CBaseDoor - func_door
CBaseDoor - func_door_rotating
CFunc_Dust - func_dustcloud
CFunc_Dust - func_dustmotes
CFuncElevator - func_elevator
CBaseTrigger - func_fire_extinguisher
CBaseEntity - func_fish_pool
CBaseToggle - func_guntarget
CBaseEntity - func_illusionary
CBaseEntity - func_ladderendpoint
CFunc_LOD - func_lod
CFuncMoveLinear - func_movelinear
CBaseEntity - func_nav_attribute_region
CBaseEntity - func_nav_avoidance_obstacle
CBaseEntity - func_nav_blocker
CBaseEntity - func_nav_stairs_toggle
CFuncOccluder - func_occluder
CBaseFlex - func_orator
CPhysBox - func_physbox
CPhysBoxMultiplayer - func_physbox_multiplayer
CBaseToggle - func_plat
CBaseToggle - func_platrot
CFuncPlayerInfectedClip - func_playerinfected_clip
CPrecipitation - func_precipitation
CPrecipitationBlocker - func_precipitation_blocker
CBaseEntity - func_proprrespawnzone
CBreakable - func_pushable
CFuncRagdollFader - func_ragdoll_fader
CFuncReflectiveGlass - func_reflective_glass
CBaseButton - func_rot_button
CFuncRotating - func_rotating
CFuncSimpleLadder - func_simpleladder
CFuncSmokeVolume - func_smokevolume
CBaseEntity - func_spawn_volume
CFuncTrackTrain - func_tanktrain
CBaseToggle - func_trackautochange
CBaseToggle - func_trackchange
CFuncTrackTrain - func_tracktrain
CBaseToggle - func_train
CBaseEntity - func_traincontrols
CFuncLadder - func_useableladder
CBaseEntity - func_vehicleclip
CBaseEntity - func_wall
CBaseEntity - func_wall_toggle
CBaseDoor - func_water
CFuncMoveLinear - func_water_analog
CBaseEntity - func_weight_button
CBaseFlex - funCBaseFlex
CBaseEntity - game_end
CBaseEntity - game_gib_manager
CBaseEntity - game_player_equip
CBaseEntity - game_player_team
CRagdollManager - game_ragdoll_manager
CBaseEntity - game_score
CBaseEntity - game_text
CBaseEntity - game_ui
CBaseEntity - game_weapon_manager
CBaseEntity - game_zone_player
CBaseAnimating - gib
CBaseEntity - gibshooter
CBaseGrenade - grenade
CBaseEntity - hammer_updateignorelist
CBaseEntity - handle_dummy
CHandleTest - handle_test
Hunter - hunter
Infected - infected
CInferno - inferno
CBaseTrigger - info_changelevel
CBaseEntity - info_constraint_anchor
CBaseEntity - info_director
CBaseEntity - info_elevator_floor
CBaseEntity - info_game_event_proxy
CBaseEntity - info_gamemode
CBaseEntity - info_goal_infected_chase
CBaseEntity - info_hang_lighting
CBaseEntity - info_infected_zoo_maker
Infected - info_infected_zoo_puppet
CBaseEntity - info_intermission
CFuncSimpleLadder - info_ladder
CInfoLadderDismount - info_ladder_dismount
CBaseEntity - info_landmark
CBaseEntity - info_map_parameters
CBaseEntity - info_map_parameters_versus
CBaseEntity - info_mass_center
CBaseEntity - info_null
CInfoOverlayAccessor - info_overlay_accessor
CParticleSystem - info_particle_system
CBaseEntity - info_player_counterterrorist
CBaseEntity - info_player_deathmatch
CBaseEntity - info_player_logo
CBaseEntity - info_player_start
CBaseEntity - info_player_teamspawn
CBaseEntity - info_player_terrorist
CBaseEntity - info_projecteddecal
CBaseEntity - info_remarkable
CBaseTrigger - info_solo_changelevel
CSurvivorPosition - info_survivor_position
CSurvivorRescue - info_survivor_rescue
CBaseEntity - info_target
CBaseEntity - info_teleport_destination
CTransitioningPlayer - info_transitioning_player
CBaseEntity - info_vehicle_groundspawn
CBaseEntity - info_view_parameters
CBaseEntity - info_zombie_spawn
CBaseEntity - infodecal
CSceneEntity - instanced_scripted_scene
CBaseAnimating - item_sodacan
CRopeKeyframe - keyframe_rope
CBaseEntity - keyframe_track
CBaseEntity - light
CBaseEntity - light_directional
CDynamicLight - light_dynamic
CBaseEntity - light_environment
CBaseEntity - light_glspot
CBaseEntity - light_spot
CBaseEntity - logic_active_autosave
CBaseEntity - logic_auto
CBaseEntity - logic_autosave
CBaseEntity - logic_branch
CBaseEntity - logic_branch_listener
CBaseEntity - logic_case
CSceneEntity - logic_choreographed_scene
CBaseEntity - logic_collision_pair
CBaseEntity - logic_compare
CBaseEntity - logic_lineto
CBaseEntity - logic_measure_movement
CBaseEntity - logic_multicompare
CBaseEntity - logic_navigation
CBaseEntity - logic_proximity
CBaseEntity - logic_relay
CBaseEntity - logic_scene_list_manager
CBaseEntity - logic_timer
CBaseEntity - logic_versus_random
CMaterialModifyControl - material_modify_control
CBaseEntity - math_colorblend
CBaseEntity - math_counter
CBaseEntity - math_remap
CMolotovProjectile - molotov_projectile
CFuncMoveLinear - momentary_door
CBaseButton - momentary_rot_button
CBaseEntity - move_keyframed
CRopeKeyframe - move_rope
CBaseEntity - multisource
CBaseEntity - path_corner
CBaseEntity - path_corner_crash
CBaseEntity - path_track
CBaseEntity - phys_ballsocket
CBoneFollower - phys_bone_follower
CBaseEntity - phys_constraint
CBaseEntity - phys_constraintsystem
CBaseEntity - phys_convert
CBaseEntity - phys_hinge
CBaseEntity - phys_keepupright
CBaseEntity - phys_lengthconstraint
CPhysMagnet - phys_magnet
CBaseEntity - phys_motor
CBaseEntity - phys_pulleyconstraint
CBaseEntity - phys_ragdollconstraint
CBaseEntity - phys_ragdollmagnet
CBaseEntity - phys_slideconstraint
CBaseEntity - phys_spring
CBaseEntity - phys_thruster
CBaseEntity - phys_torque
CBaseCombatCharacter - physics_cannister
CBaseEntity - physics_entity_solver
CBaseEntity - physics_npc_solver
CPhysicsProp - physics_prop
CRagdollProp - physics_prop_ragdoll
CPipeBombProjectile - pipe_bomb_projectile
CTerrorPlayer - player
CBaseEntity - player_loadsaved
CPlayerResource - player_manager
CBaseEntity - player_pickup
CBaseEntity - player_speedmod
CBaseEntity - player_weaponstrip
CBaseEntity - point_anglesensor
CBaseEntity - point_angularvelocitysensor
CBaseEntity - point_bonusmaps_accessor
CBaseEntity - point_broadcastclientcommand
CBaseEntity - point_clientcommand
CPointCommentaryNode - point_commentary_node
CSprite - point_commentary_viewpoint
CBaseEntity - point_deathfall_camera
CBaseEntity - point_devshot_camera
CBaseEntity - point_enable_motion_fixup
CBaseEntity - point_entity_finder
CBaseEntity - point_gamestats_counter
CBaseEntity - point_hurt
CBaseEntity - point_message
CBaseEntity - point_playermoveconstraint
CPoseController - point_posecontroller
CBaseEntity - point_proximity_sensor
CBaseEntity - point_push
CBaseEntity - point_servercommand
CBaseEntity - point_spotlight
CBaseEntity - point_surroundtest
CBaseEntity - point_teleport
CBaseEntity - point_template
CBaseEntity - point_velocitysensor
CBaseEntity - point_viewcontrol
CBaseEntity - point_viewcontrol_multiplayer
CBaseEntity - point_viewcontrol_survivor
CPostProcessController - postprocess_controller
CTerrorViewModel - predicted_viewmodel
CPhysicsProp - prop_car_alarm
CDynamicProp - prop_car_glass
CBasePropDoor - prop_door_rotating
CPropDoorRotatingCheckpoint - prop_door_rotating_checkpoint
CDynamicProp - prop_dynamic
CDynamicProp - prop_dynamic_ornament
CDynamicProp - prop_dynamic_override
CPhysicsProp - prop_fuel_barrel
CPhysicsProp - prop_fuel_barrel_piece
CPropGlowingObject - prop_glowing_object
CPropHealthCabinet - prop_health_cabinet
CPropMinigun - prop_minigun
CPropMountedGun - prop_mounted_machine_gun
CPhysicsProp - prop_physics
CPhysicsProp - prop_physics_multiplayer
CPhysicsProp - prop_physics_override
CPhysicsProp - prop_physics_respawnable
CRagdollProp - prop_ragdoll
CRagdollPropAttached - prop_ragdoll_attached
CPhysicsProp - prop_sphere
CBaseAnimating - prop_vehicle
CPropVehicleDriveable - prop_vehicle_driveable
CBaseAnimating - raggib
CBaseEntity - scene_manager
CSceneEntity - scripted_scene
CShadowControl - shadow_control
CBaseEntity - simple_physics_brush
CBaseAnimating - simple_physics_prop
CBaseEntity - sky_camera
Smoker - smoker
CBaseEntity - soundent
CBaseEntity - spark_shower
CSpotlightEnd - spotlight_end
CBaseEntity - spraycan
SurvivorBot - survivor_bot
Tank - tank
CBaseCSGrenadeProjectile - tank_rock
CBaseEntity - tanktrain_ai
CBaseEntity - tanktrain_aitarget
CBaseEntity - target_cdaudio
CBaseEntity - target_changegravity
CBaseEntity - te_tester
CTeam - team_manager
CTerrorGameRulesProxy - terror_gamerules
CTerrorPlayerResource - terror_player_manager
CBaseEntity - test_effect
CTest_ProxyToggle_Networkable - test_proxytoggle
CTestTraceline - test_traceline
CBaseTrigger - trigger
CBaseTrigger - trigger_auto_crouch
CBaseTrigger - trigger_autosave
CBaseEntity - trigger_brush
CBaseTrigger - trigger_cdaudio
CBaseTrigger - trigger_changelevel
CBaseTrigger - trigger_escape
CFinaleTrigger - trigger_finale
CFinaleTrigger - trigger_finale_dlc3
CBaseTrigger - trigger_fog
CBaseTrigger - trigger_gravity
CBaseTrigger - trigger_hurt
CBaseTrigger - trigger_hurt_ghost
CBaseTrigger - trigger_impact
CBaseTrigger - trigger_look
CBaseTrigger - trigger_multiple
CBaseTrigger - trigger_once
CTriggerPlayerMovement - trigger_playermovement
CBaseTrigger - trigger_proximity
CBaseTrigger - trigger_push
CBaseTrigger - trigger_remove
CBaseTrigger - trigger_serverragdoll
CBaseTrigger - trigger_soundscape
CBaseTrigger - trigger_teleport
CBaseTrigger - trigger_togglesave
CBaseTrigger - trigger_tonemap
CBaseEntity - trigger_transition
CBaseEntity - trigger_vphysics_motion
CBaseEntity - trigger_wind
CVGuiScreen - vgui_screen
CVGuiScreen - vgui_screen_team
CSlideshowDisplay - vgui_slideshow_display
CBaseViewModel - viewmodel
CBaseEntity - vomit_particle
CVoteController - vote_controller
CWaterLODControl - water_lod_control
CWaterBullet - waterbullet
CWeaponAmmoSpawn - weapon_ammo_spawn
CAutoShotgun - weapon_autoshotgun
CWeaponSpawn - weapon_autoshotgun_spawn
CBaseCSGrenade - weapon_basecsgrenade
CBoomerClaw - weapon_boomer_claw
CWeaponCSBase - weapon_cs_base
CWeaponCSBaseGun - weapon_csbase_gun
CFirstAidKit - weapon_first_aid_kit
CWeaponSpawn - weapon_first_aid_kit_spawn
CGasCan - weapon_gascan
CWeaponSpawn - weapon_hegrenade_spawn
CHunterClaw - weapon_hunter_claw
CSniperRifle - weapon_hunting_rifle
CWeaponSpawn - weapon_hunting_rifle_spawn
CMolotov - weapon_molotov
CWeaponSpawn - weapon_molotov_spawn
COxygenTank - weapon_oxygentank
CPainPills - weapon_pain_pills
CWeaponSpawn - weapon_pain_pills_spawn
CPipeBomb - weapon_pipe_bomb
CWeaponSpawn - weapon_pipe_bomb_spawn
CPistol - weapon_pistol
CWeaponSpawn - weapon_pistol_spawn
CPropaneTank - weapon_propanetank
CPumpShotgun - weapon_pumpshotgun
CWeaponSpawn - weapon_pumpshotgun_spawn
CAssaultRifle - weapon_rifle
CWeaponSpawn - weapon_rifle_spawn
CSubMachinegun - weapon_smg
CWeaponSpawn - weapon_smg_spawn
CSmokerClaw - weapon_smoker_claw
CTankClaw - weapon_tank_claw
CBaseAnimating - window_pane
Witch - witch
CBaseAnimating - world_items
CWorld - worldspawn
